CAMIS,DBA,BORO,ZIPCODE,Latitude,Longitude,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE
50065428.0,KINGS KTV KARAOKE,Brooklyn,11232.0,40.64686977,-73.99666309,Korean,12.0,A,2022-11-13
50018354.0,FAMOUS FRESH SUPER TACO & GRILL INC,Brooklyn,11223.0,40.59018422,-73.97353629,Tex-Mex,4.0,A,2022-06-18
50013915.0,VANILLA CAFE,Queens,11368.0,40.75231656,-73.86793919,Spanish,12.0,A,2023-01-05
50094274.0,POMP & CIRCUMSTANCE,Brooklyn,11211.0,40.71425662,-73.94941576,Mediterranean,12.0,A,2022-12-08
50045843.0,KURO-OBI OF IPPUDO,Manhattan,10169.0,40.75450075,-73.97595043,Japanese,11.0,A,2022-04-26
50116768.0,D'BLASS,Bronx,10453.0,40.84965659,-73.91093613,Latin American,12.0,A,2023-03-16
50087217.0,BROOKLYN SUYA,Brooklyn,11238.0,40.67394989,-73.9567683,African,10.0,A,2022-02-22
41311641.0,ROLLIN GREENS,Queens,11426.0,40.72584414,-73.71901915,American,12.0,A,2023-01-10
41401242.0,CARVEL,Bronx,10465.0,40.83224521,-73.82759964,Frozen Desserts,27.0,B,2023-01-03
41638086.0,"DUNKIN',' BASKIN ROBBINS",Bronx,10468.0,40.86739535,-73.89724179,Donuts,12.0,A,2022-03-07
50073849.0,Hungry Ghost Coffee,Brooklyn,11201.0,40.68985673,-73.97972037,Coffee/Tea,4.0,A,2023-02-21
50045600.0,ANTICA TRATTORIA,Queens,11385.0,40.70486382,-73.89614799,Italian,12.0,A,2022-09-15
50065189.0,NORTH COAST SHARK AND BAKE,Brooklyn,11203.0,40.6519365,-73.93332155,Caribbean,5.0,Z,2022-04-06
41704598.0,DUNKIN,Manhattan,10031.0,40.82108187,-73.95436,Donuts,5.0,A,2022-05-27
41639035.0,LONG RIVER CHINESE RESTAURANT,Queens,11416.0,40.68242335,-73.85192545,Chinese,13.0,A,2022-04-28
40602783.0,EL TINA FISH MARKET & SEAFOOD RESTAURANT,Manhattan,10034.0,40.86445939,-73.91897499,Seafood,2.0,A,2022-10-06
50106646.0,SECRET PARADISE GRILL,Brooklyn,11210.0,40.63454011,-73.94950885,Creole,33.0,C,2022-10-12
